name	manufacturer	type	calories	protein	fat	sodium	fiber	carbo	sugars	potass	vitamins	weight	cups	rating
100% Bran	Nabisco	Cold	70	4	1	130	10	5	6	280	25	1	0,33	68,40297
100% Natural Bran	Quaker Oats	Cold	120	3	5	15	2	8	8	135	0	1	1	33,98368
All-Bran	Kelloggs	Cold	70	4	1	260	9	7	5	320	25	1	0,33	59,42551
All-Bran with Extra Fiber	Kelloggs	Cold	50	4	0	140	14	8	0	330	25	1	0,5	93,70491
Almond Delight	Ralston Purina	Cold	110	2	2	200	1	14	8	-1	25	1	0,75	34,38484
Apple Cinnamon Cheerios	General Mills	Cold	110	2	2	180	1,5	10,5	10	70	25	1	0,75	29,50954
Apple Jacks	Kelloggs	Cold	110	2	0	125	1	11	14	30	25	1	1	33,17409
Basic 4	General Mills	Cold	130	3	2	210	2	18	8	100	25	1,33	0,75	37,03856
Bran Chex	Ralston Purina	Cold	90	2	1	200	4	15	6	125	25	1	0,67	49,12025
Bran Flakes	Post	Cold	90	3	0	210	5	13	5	190	25	1	0,67	53,31381
Cap'n'Crunch	Quaker Oats	Cold	120	1	2	220	0	12	12	35	25	1	0,75	18,04285
Cheerios	General Mills	Cold	110	6	2	290	2	17	1	105	25	1	1,25	50,765
Cinnamon Toast Crunch	General Mills	Cold	120	1	3	210	0	13	9	45	25	1	0,75	19,82357
Clusters	General Mills	Cold	110	3	2	140	2	13	7	105	25	1	0,5	40,40021
Cocoa Puffs	General Mills	Cold	110	1	1	180	0	12	13	55	25	1	1	22,73645
Corn Chex	Ralston Purina	Cold	110	2	0	280	0	22	3	25	25	1	1	41,44502
Corn Flakes	Kelloggs	Cold	100	2	0	290	1	21	2	35	25	1	1	45,86332
Corn Pops	Kelloggs	Cold	110	1	0	90	1	13	12	20	25	1	1	35,78279
Count Chocula	General Mills	Cold	110	1	1	180	0	12	13	65	25	1	1	22,39651
Cracklin' Oat Bran	Kelloggs	Cold	110	3	3	140	4	10	7	160	25	1	0,5	40,44877
Cream of Wheat (Quick)	Nabisco	Hot	100	3	0	80	1	21	0	-1	0	1	1	64,53382
Crispix	Kelloggs	Cold	110	2	0	220	1	21	3	30	25	1	1	46,89564
Crispy Wheat & Raisins	General Mills	Cold	100	2	1	140	2	11	10	120	25	1	0,75	36,1762
Double Chex	Ralston Purina	Cold	100	2	0	190	1	18	5	80	25	1	0,75	44,33086
